2004 Federal Election House of Representatives First Preferences By Candidate By Polling Place for TAS [12246 8/11/2005 11:07:27 PM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,Swing
TAS,192,Bass,8297,Elphin,14644,FERGUSON,Michael,2,#,LP,Liberal,340,7.46
TAS,192,Bass,8297,Elphin,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,280,-0.62
TAS,192,Bass,8297,Elphin,15230,BALL,Jeremy,4,,GRN,Australian Greens,66,-0.6
TAS,192,Bass,8297,Elphin,14667,BERGMAN,Christine,5,,FFP,Family First,18,2.52
TAS,192,Bass,8297,Elphin,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,2,0.28
TAS,192,Bass,8297,Elphin,999,Informal,Informal,999,,,Informal,25,-1.31
TAS,192,Bass,8314,Five Ways,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,29,1.44
TAS,192,Bass,8314,Five Ways,14644,FERGUSON,Michael,2,#,LP,Liberal,795,6.03
TAS,192,Bass,8314,Five Ways,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,675,-2.91
TAS,192,Bass,8314,Five Ways,15230,BALL,Jeremy,4,,GRN,Australian Greens,128,1.35
TAS,192,Bass,8314,Five Ways,14667,BERGMAN,Christine,5,,FFP,Family First,29,1.74
TAS,192,Bass,8314,Five Ways,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,10,0.6
TAS,192,Bass,8314,Five Ways,999,Informal,Informal,999,,,Informal,63,-0.96
TAS,192,Bass,8300,General Hospital,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,12,1.91
TAS,192,Bass,8300,General Hospital,14644,FERGUSON,Michael,2,#,LP,Liberal,221,2.84
TAS,192,Bass,8300,General Hospital,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,239,-0.75
TAS,192,Bass,8300,General Hospital,15230,BALL,Jeremy,4,,GRN,Australian Greens,82,2.55
TAS,192,Bass,8300,General Hospital,14667,BERGMAN,Christine,5,,FFP,Family First,8,1.41
TAS,192,Bass,8300,General Hospital,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,6,1.06
TAS,192,Bass,8300,General Hospital,999,Informal,Informal,999,,,Informal,34,-0.68
TAS,192,Bass,8301,George Town,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,45,2.13
TAS,192,Bass,8301,George Town,14644,FERGUSON,Michael,2,#,LP,Liberal,693,11.15
TAS,192,Bass,8301,George Town,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,947,-8.45
TAS,192,Bass,8301,George Town,15230,BALL,Jeremy,4,,GRN,Australian Greens,104,1.41
TAS,192,Bass,8301,George Town,14667,BERGMAN,Christine,5,,FFP,Family First,45,2.45
TAS,192,Bass,8301,George Town,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,6,0.33
TAS,192,Bass,8301,George Town,999,Informal,Informal,999,,,Informal,103,-2.16
TAS,192,Bass,8302,George Town South,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,20,1.97
TAS,192,Bass,8302,George Town South,14644,FERGUSON,Michael,2,#,LP,Liberal,361,7.33
TAS,192,Bass,8302,George Town South,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,476,-9.59
TAS,192,Bass,8302,George Town South,15230,BALL,Jeremy,4,,GRN,Australian Greens,75,3.84
TAS,192,Bass,8302,George Town South,14667,BERGMAN,Christine,5,,FFP,Family First,24,2.5
TAS,192,Bass,8302,George Town South,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,5,0.52
TAS,192,Bass,8302,George Town South,999,Informal,Informal,999,,,Informal,59,0.93
TAS,192,Bass,8303,Gladstone,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,7,3.5
TAS,192,Bass,8303,Gladstone,14644,FERGUSON,Michael,2,#,LP,Liberal,96,15.58
TAS,192,Bass,8303,Gladstone,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,83,-10.7
TAS,192,Bass,8303,Gladstone,15230,BALL,Jeremy,4,,GRN,Australian Greens,10,2.8
TAS,192,Bass,8303,Gladstone,14667,BERGMAN,Christine,5,,FFP,Family First,4,2
TAS,192,Bass,8303,Gladstone,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,0,0
TAS,192,Bass,8303,Gladstone,999,Informal,Informal,999,,,Informal,12,1.96
TAS,192,Bass,8304,Hillwood,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,7,1.61
TAS,192,Bass,8304,Hillwood,14644,FERGUSON,Michael,2,#,LP,Liberal,193,7.67
TAS,192,Bass,8304,Hillwood,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,129,-3.33
TAS,192,Bass,8304,Hillwood,15230,BALL,Jeremy,4,,GRN,Australian Greens,33,1.94
TAS,192,Bass,8304,Hillwood,14667,BERGMAN,Christine,5,,FFP,Family First,13,3.47
TAS,192,Bass,8304,Hillwood,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,0,0
TAS,192,Bass,8304,Hillwood,999,Informal,Informal,999,,,Informal,15,-0.2
TAS,192,Bass,8305,Inveresk,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,31,2.11
TAS,192,Bass,8305,Inveresk,14644,FERGUSON,Michael,2,#,LP,Liberal,417,11.54
TAS,192,Bass,8305,Inveresk,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,614,-8.34
TAS,192,Bass,8305,Inveresk,15230,BALL,Jeremy,4,,GRN,Australian Greens,113,2.09
TAS,192,Bass,8305,Inveresk,14667,BERGMAN,Christine,5,,FFP,Family First,23,1.91
TAS,192,Bass,8305,Inveresk,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,4,0.33
TAS,192,Bass,8305,Inveresk,999,Informal,Informal,999,,,Informal,81,-0.91
TAS,192,Bass,8306,Invermay,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,17,2.01
TAS,192,Bass,8306,Invermay,14644,FERGUSON,Michael,2,#,LP,Liberal,291,8.41
TAS,192,Bass,8306,Invermay,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,340,-3.94
TAS,192,Bass,8306,Invermay,15230,BALL,Jeremy,4,,GRN,Australian Greens,63,2.35
TAS,192,Bass,8306,Invermay,14667,BERGMAN,Christine,5,,FFP,Family First,8,1.11
TAS,192,Bass,8306,Invermay,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,3,0.42
TAS,192,Bass,8306,Invermay,999,Informal,Informal,999,,,Informal,46,-0.61
TAS,192,Bass,8308,Karoola,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,6,2.21
TAS,192,Bass,8308,Karoola,14644,FERGUSON,Michael,2,#,LP,Liberal,132,3.75
TAS,192,Bass,8308,Karoola,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,107,-0.83
TAS,192,Bass,8308,Karoola,15230,BALL,Jeremy,4,,GRN,Australian Greens,23,5.78
TAS,192,Bass,8308,Karoola,14667,BERGMAN,Christine,5,,FFP,Family First,3,1.11
TAS,192,Bass,8308,Karoola,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,0,0
TAS,192,Bass,8308,Karoola,999,Informal,Informal,999,,,Informal,12,-1.94
TAS,192,Bass,8309,Kings Meadows,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,26,1.33
TAS,192,Bass,8309,Kings Meadows,14644,FERGUSON,Michael,2,#,LP,Liberal,845,7.69
TAS,192,Bass,8309,Kings Meadows,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,713,-4.35
TAS,192,Bass,8309,Kings Meadows,15230,BALL,Jeremy,4,,GRN,Australian Greens,91,0.78
TAS,192,Bass,8309,Kings Meadows,14667,BERGMAN,Christine,5,,FFP,Family First,34,1.98
TAS,192,Bass,8309,Kings Meadows,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,5,0.29
TAS,192,Bass,8309,Kings Meadows,999,Informal,Informal,999,,,Informal,85,-0.12
TAS,192,Bass,8310,Lady Barron,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,2,-0.15
TAS,192,Bass,8310,Lady Barron,14644,FERGUSON,Michael,2,#,LP,Liberal,78,14.3
TAS,192,Bass,8310,Lady Barron,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,46,-1.99
TAS,192,Bass,8310,Lady Barron,15230,BALL,Jeremy,4,,GRN,Australian Greens,14,2.05
TAS,192,Bass,8310,Lady Barron,14667,BERGMAN,Christine,5,,FFP,Family First,2,1.41
TAS,192,Bass,8310,Lady Barron,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,0,0
TAS,192,Bass,8310,Lady Barron,999,Informal,Informal,999,,,Informal,3,-1.69
TAS,192,Bass,8311,Launceston,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,6,0.49
TAS,192,Bass,8311,Launceston,14644,FERGUSON,Michael,2,#,LP,Liberal,406,5.55
TAS,192,Bass,8311,Launceston,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,343,-2.03
TAS,192,Bass,8311,Launceston,15230,BALL,Jeremy,4,,GRN,Australian Greens,167,5.12
TAS,192,Bass,8311,Launceston,14667,BERGMAN,Christine,5,,FFP,Family First,24,2.52
TAS,192,Bass,8311,Launceston,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,7,0.73
TAS,192,Bass,8311,Launceston,999,Informal,Informal,999,,,Informal,42,0.76
TAS,192,Bass,8312,Launceston Central,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,8,0.39
TAS,192,Bass,8312,Launceston Central,14644,FERGUSON,Michael,2,#,LP,Liberal,467,2.24
TAS,192,Bass,8312,Launceston Central,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,363,3.1
TAS,192,Bass,8312,Launceston Central,15230,BALL,Jeremy,4,,GRN,Australian Greens,168,2.9
TAS,192,Bass,8312,Launceston Central,14667,BERGMAN,Christine,5,,FFP,Family First,19,1.85
TAS,192,Bass,8312,Launceston Central,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,4,0.39
TAS,192,Bass,8312,Launceston Central,999,Informal,Informal,999,,,Informal,33,-0.69
TAS,192,Bass,8316,Lebrina,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,3,0.76
TAS,192,Bass,8316,Lebrina,14644,FERGUSON,Michael,2,#,LP,Liberal,130,13.98
TAS,192,Bass,8316,Lebrina,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,86,-6.9
TAS,192,Bass,8316,Lebrina,15230,BALL,Jeremy,4,,GRN,Australian Greens,27,0.45
TAS,192,Bass,8316,Lebrina,14667,BERGMAN,Christine,5,,FFP,Family First,5,1.98
TAS,192,Bass,8316,Lebrina,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,1,0.4
TAS,192,Bass,8316,Lebrina,999,Informal,Informal,999,,,Informal,7,1.02
TAS,192,Bass,8616,Legana (Bass),14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,15,0.87
TAS,192,Bass,8616,Legana (Bass),14644,FERGUSON,Michael,2,#,LP,Liberal,825,5.72
TAS,192,Bass,8616,Legana (Bass),14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,467,-0.16
TAS,192,Bass,8616,Legana (Bass),15230,BALL,Jeremy,4,,GRN,Australian Greens,127,2.31
TAS,192,Bass,8616,Legana (Bass),14667,BERGMAN,Christine,5,,FFP,Family First,27,1.84
TAS,192,Bass,8616,Legana (Bass),14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,6,0.41
TAS,192,Bass,8616,Legana (Bass),999,Informal,Informal,999,,,Informal,46,-0.98
TAS,192,Bass,8319,Lilydale,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,8,1.23
TAS,192,Bass,8319,Lilydale,14644,FERGUSON,Michael,2,#,LP,Liberal,299,13.14
TAS,192,Bass,8319,Lilydale,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,232,-1.61
TAS,192,Bass,8319,Lilydale,15230,BALL,Jeremy,4,,GRN,Australian Greens,106,6.23
TAS,192,Bass,8319,Lilydale,14667,BERGMAN,Christine,5,,FFP,Family First,4,0.61
TAS,192,Bass,8319,Lilydale,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,3,0.46
TAS,192,Bass,8319,Lilydale,999,Informal,Informal,999,,,Informal,36,1.66
TAS,192,Bass,8321,Mowbray,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,34,1.83
TAS,192,Bass,8321,Mowbray,14644,FERGUSON,Michael,2,#,LP,Liberal,593,8.73
TAS,192,Bass,8321,Mowbray,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,738,-5.38
TAS,192,Bass,8321,Mowbray,15230,BALL,Jeremy,4,,GRN,Australian Greens,82,0.97
TAS,192,Bass,8321,Mowbray,14667,BERGMAN,Christine,5,,FFP,Family First,39,2.62
TAS,192,Bass,8321,Mowbray,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,5,0.34
TAS,192,Bass,8321,Mowbray,999,Informal,Informal,999,,,Informal,78,-0.4
TAS,192,Bass,8322,Myrtle Park,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,1,1.52
TAS,192,Bass,8322,Myrtle Park,14644,FERGUSON,Michael,2,#,LP,Liberal,21,6.29
