2004 Federal Election House of Representatives First Preferences By Candidate By Polling Place for WA [12246 8/11/2005 11:07:35 PM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,Swing
WA,235,Brand,32064,Golden Bay,14546,BEAZLEY,Kim,6,#,ALP,Australian Labor Party,375,0.93
WA,235,Brand,32064,Golden Bay,14946,EDMAN,Phil,7,,LP,Liberal,364,15.47
WA,235,Brand,32064,Golden Bay,14562,TOTTEN,Rob,8,,CEC,Citizens Electoral Council,9,0.82
WA,235,Brand,32064,Golden Bay,999,Informal,Informal,999,,,Informal,37,-0.56
WA,235,Brand,11894,Greenfields,14181,VETTOOR,Rajesh,1,,CDP,CDP Christian Party,79,1.97
WA,235,Brand,11894,Greenfields,14146,JENKINS,Jean,2,,GRN,The Greens,95,1.39
WA,235,Brand,11894,Greenfields,14139,KETTLE,Gerard,3,,IND,Independent,24,0.92
WA,235,Brand,11894,Greenfields,14419,STOCKDEN,Garth,4,,HAN,Pauline Hanson's One Nation,81,-4.58
WA,235,Brand,11894,Greenfields,14961,PARTRIDGE,John,5,,DEM,Australian Democrats,14,-2.04
WA,235,Brand,11894,Greenfields,14546,BEAZLEY,Kim,6,#,ALP,Australian Labor Party,1224,-5.76
WA,235,Brand,11894,Greenfields,14946,EDMAN,Phil,7,,LP,Liberal,1060,15.7
WA,235,Brand,11894,Greenfields,14562,TOTTEN,Rob,8,,CEC,Citizens Electoral Council,23,0.72
WA,235,Brand,11894,Greenfields,999,Informal,Informal,999,,,Informal,181,1.71
WA,235,Brand,31809,Greenfields East,14181,VETTOOR,Rajesh,1,,CDP,CDP Christian Party,38,1.07
WA,235,Brand,31809,Greenfields East,14146,JENKINS,Jean,2,,GRN,The Greens,52,0.26
WA,235,Brand,31809,Greenfields East,14139,KETTLE,Gerard,3,,IND,Independent,12,0.82
WA,235,Brand,31809,Greenfields East,14419,STOCKDEN,Garth,4,,HAN,Pauline Hanson's One Nation,38,-3.86
WA,235,Brand,31809,Greenfields East,14961,PARTRIDGE,John,5,,DEM,Australian Democrats,8,-1.91
