2004 Federal Election House of Representatives First Preferences By Candidate By Polling Place for ACT [12246 8/11/2005 11:07:25 PM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,101,Canberra,8766,Deakin,15166,BARNIER,Belinda,2,,LP,Liberal,667,0.42
ACT,101,Canberra,8766,Deakin,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,3,0.22
ACT,101,Canberra,8766,Deakin,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),553,6.61
ACT,101,Canberra,8766,Deakin,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,8,-5.64
ACT,101,Canberra,8766,Deakin,999,Informal,Informal,999,,,Informal,36,-0.5
ACT,101,Canberra,8767,Duffy,15421,ELLERMAN,Sue,1,,GRN,The Greens,208,2.92
ACT,101,Canberra,8767,Duffy,15166,BARNIER,Belinda,2,,LP,Liberal,520,4.04
ACT,101,Canberra,8767,Duffy,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,14,0.85
ACT,101,Canberra,8767,Duffy,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),868,3.39
ACT,101,Canberra,8767,Duffy,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,45,-6.64
ACT,101,Canberra,8767,Duffy,999,Informal,Informal,999,,,Informal,78,0.97
ACT,101,Canberra,8768,Fadden,15421,ELLERMAN,Sue,1,,GRN,The Greens,182,4.3
ACT,101,Canberra,8768,Fadden,15166,BARNIER,Belinda,2,,LP,Liberal,936,1.61
ACT,101,Canberra,8768,Fadden,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,14,0.64
ACT,101,Canberra,8768,Fadden,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1010,3.25
ACT,101,Canberra,8768,Fadden,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,32,-6.49
ACT,101,Canberra,8768,Fadden,999,Informal,Informal,999,,,Informal,62,0.18
ACT,101,Canberra,8769,Farrer,15421,ELLERMAN,Sue,1,,GRN,The Greens,265,3.55
ACT,101,Canberra,8769,Farrer,15166,BARNIER,Belinda,2,,LP,Liberal,1169,2.54
ACT,101,Canberra,8769,Farrer,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,17,0.63
ACT,101,Canberra,8769,Farrer,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1199,2.62
ACT,101,Canberra,8769,Farrer,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,33,-5.89
ACT,101,Canberra,8769,Farrer,999,Informal,Informal,999,,,Informal,53,-1.23
ACT,101,Canberra,8771,Gilmore,15421,ELLERMAN,Sue,1,,GRN,The Greens,167,3.56
ACT,101,Canberra,8771,Gilmore,15166,BARNIER,Belinda,2,,LP,Liberal,840,4.22
ACT,101,Canberra,8771,Gilmore,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,11,0.51
ACT,101,Canberra,8771,Gilmore,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1121,5.09
ACT,101,Canberra,8771,Gilmore,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,38,-6.87
ACT,101,Canberra,8771,Gilmore,999,Informal,Informal,999,,,Informal,86,-1.2
ACT,101,Canberra,12072,Gordon,15421,ELLERMAN,Sue,1,,GRN,The Greens,300,3.39
ACT,101,Canberra,12072,Gordon,15166,BARNIER,Belinda,2,,LP,Liberal,1642,4.46
ACT,101,Canberra,12072,Gordon,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,34,0.83
ACT,101,Canberra,12072,Gordon,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),2013,2.67
ACT,101,Canberra,12072,Gordon,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,96,-5.33
ACT,101,Canberra,12072,Gordon,999,Informal,Informal,999,,,Informal,173,0.12
ACT,101,Canberra,8772,Gowrie,15421,ELLERMAN,Sue,1,,GRN,The Greens,160,4.2
ACT,101,Canberra,8772,Gowrie,15166,BARNIER,Belinda,2,,LP,Liberal,709,1.2
ACT,101,Canberra,8772,Gowrie,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,17,0.87
ACT,101,Canberra,8772,Gowrie,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1015,3.62
ACT,101,Canberra,8772,Gowrie,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,46,-5.1
ACT,101,Canberra,8772,Gowrie,999,Informal,Informal,999,,,Informal,77,-0.06
ACT,101,Canberra,8773,Holder,15421,ELLERMAN,Sue,1,,GRN,The Greens,172,3.99
ACT,101,Canberra,8773,Holder,15166,BARNIER,Belinda,2,,LP,Liberal,496,3.81
ACT,101,Canberra,8773,Holder,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,11,0.74
ACT,101,Canberra,8773,Holder,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),783,3.35
ACT,101,Canberra,8773,Holder,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,30,-6.72
ACT,101,Canberra,8773,Holder,999,Informal,Informal,999,,,Informal,51,0.7
ACT,101,Canberra,8774,Hughes,15421,ELLERMAN,Sue,1,,GRN,The Greens,391,3.04
ACT,101,Canberra,8774,Hughes,15166,BARNIER,Belinda,2,,LP,Liberal,1093,0.71
ACT,101,Canberra,8774,Hughes,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,21,0.68
ACT,101,Canberra,8774,Hughes,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1520,5.27
ACT,101,Canberra,8774,Hughes,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,46,-5.93
ACT,101,Canberra,8774,Hughes,999,Informal,Informal,999,,,Informal,81,-0.3
ACT,101,Canberra,8884,Isabella Plains,15421,ELLERMAN,Sue,1,,GRN,The Greens,192,4.56
ACT,101,Canberra,8884,Isabella Plains,15166,BARNIER,Belinda,2,,LP,Liberal,953,5.41
ACT,101,Canberra,8884,Isabella Plains,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,21,0.86
ACT,101,Canberra,8884,Isabella Plains,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1197,1.41
ACT,101,Canberra,8884,Isabella Plains,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,70,-5.38
ACT,101,Canberra,8884,Isabella Plains,999,Informal,Informal,999,,,Informal,131,1.09
ACT,101,Canberra,8775,Kambah East,15421,ELLERMAN,Sue,1,,GRN,The Greens,154,3.64
ACT,101,Canberra,8775,Kambah East,15166,BARNIER,Belinda,2,,LP,Liberal,636,2.79
ACT,101,Canberra,8775,Kambah East,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,13,0.69
ACT,101,Canberra,8775,Kambah East,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1038,5.56
ACT,101,Canberra,8775,Kambah East,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,39,-6.88
ACT,101,Canberra,8775,Kambah East,999,Informal,Informal,999,,,Informal,68,-0.49
ACT,101,Canberra,8776,Kambah North,15421,ELLERMAN,Sue,1,,GRN,The Greens,143,3.02
ACT,101,Canberra,8776,Kambah North,15166,BARNIER,Belinda,2,,LP,Liberal,552,6.2
ACT,101,Canberra,8776,Kambah North,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,9,0.58
ACT,101,Canberra,8776,Kambah North,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),813,2.83
ACT,101,Canberra,8776,Kambah North,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,37,-7.07
ACT,101,Canberra,8776,Kambah North,999,Informal,Informal,999,,,Informal,55,0.82
